Reference, Quantity, Value, Footprint, Datasheet, Voltage, Precision
R229 R224 R211 R219 R230 R210 R218 R306 R307 R308 R309 R310 R311 R312 R313 R314 R315 R316 R319 R317 R318 R320 R321 R322 R323 R324 R325 R326 R327 R328 R329 R330 R305 ,33,0R,Resistor_SMD:R_0805_2012Metric,~,,
R302 R304 ,2,ADJ,Resistor_SMD:R_0805_2012Metric,~,,
R303 R331 R332 ,3,330R,Resistor_SMD:R_0805_2012Metric,~,,
R3404 R3408 R3407 R3406 R3402 R3405 R3401 R3403 R3459 R3460 R3458 R3457 R3504 R3508 R3507 R3506 R3502 R3505 R3501 R3503 R3559 R3560 R3558 R3557 R3604 R3608 R3607 R3606 R3602 R3605 R3601 R3603 R3659 R3660 R3658 R3657 R3704 R3708 R3707 R3706 R3702 R3705 R3701 R3703 R3759 R3760 R3758 R3757 R3804 R3808 R3807 R3803 R3859 R3860 R2018 R2020 R2019 R2014 R2039 R2040 ,60,390R,Resistor_SMD:R_0805_2012Metric,~,,
R3440 R3444 R3448 R3452 R3456 R3436 R3428 R3439 R3443 R3447 R3451 R3455 R3435 R3427 R3438 R3442 R3446 R3450 R3454 R3434 R3426 R3437 R3441 R3445 R3449 R3453 R3433 R3425 R3540 R3544 R3548 R3552 R3556 R3536 R3528 R3539 R3543 R3547 R3551 R3555 R3535 R3527 R3538 R3542 R3546 R3550 R3554 R3534 R3526 R3537 R3541 R3545 R3549 R3553 R3533 R3525 R3640 R3644 R3648 R3652 R3656 R3636 R3628 R3639 R3643 R3647 R3651 R3655 R3635 R3627 R3638 R3642 R3646 R3650 R3654 R3634 R3626 R3637 R3641 R3645 R3649 R3653 R3633 R3625 R3740 R3744 R3748 R3752 R3756 R3736 R3728 R3739 R3743 R3747 R3751 R3755 R3735 R3727 R3738 R3742 R3746 R3750 R3754 R3734 R3726 R3737 R3741 R3745 R3749 R3753 R3733 R3725 R3840 R3844 R3848 R3852 R3856 R3836 R3828 R3839 R3843 R3847 R3851 R3855 R3835 R3827 R2030 R2032 R2034 R2036 R2038 R2028 R2024 R2029 R2031 R2033 R2035 R2037 R2027 R2023 ,140,100R,Resistor_SMD:R_2512_6332Metric,~,,
TP201 ,1,2.2727V_TP,TestPoint:TestPoint_Pad_2.5x2.5mm,~,,
TP202 ,1,1.8V_TP,TestPoint:TestPoint_Pad_2.5x2.5mm,~,,
TP203 ,1,5.000V_TP,TestPoint:TestPoint_Pad_2.5x2.5mm,~,,
TP204 ,1,0.850V_TP,TestPoint:TestPoint_Pad_2.5x2.5mm,~,,
TP301 ,1,12V_TP,TestPoint:TestPoint_Pad_2.5x2.5mm,~,,
