Ref,Val,Package,PosX,PosY,Rot,Side
"R2605","100R","R_2512_6332Metric",9.736000,-108.740000,180.000000,bottom
"R2606","100R","R_2512_6332Metric",9.736000,-96.548000,180.000000,bottom
"R2607","100R","R_2512_6332Metric",9.736000,-104.648000,180.000000,bottom
"R2608","100R","R_2512_6332Metric",9.736000,-100.612000,180.000000,bottom
"R2609","100R","R_2512_6332Metric",9.736000,-92.484000,180.000000,bottom
"R2610","100R","R_2512_6332Metric",9.736000,-88.420000,180.000000,bottom
"R2611","100R","R_2512_6332Metric",9.736000,-84.356000,180.000000,bottom
"R2612","330R","R_0805_2012Metric",7.738000,-123.952000,0.000000,bottom
"R2613","330R","R_0805_2012Metric",31.376000,-75.582000,180.000000,bottom
"R2614","10K","R_0805_2012Metric",12.530000,-80.546000,90.000000,bottom
"R2615","1K","R_0805_2012Metric",15.070000,-80.546000,270.000000,bottom
"R2616","100R","R_2512_6332Metric",17.864000,-120.932000,180.000000,bottom
"R2617","100R","R_2512_6332Metric",17.864000,-116.868000,180.000000,bottom
"R2618","100R","R_2512_6332Metric",17.864000,-112.804000,180.000000,bottom
"R2619","100R","R_2512_6332Metric",17.864000,-108.740000,180.000000,bottom
"R2620","100R","R_2512_6332Metric",17.864000,-104.676000,180.000000,bottom
"R2621","100R","R_2512_6332Metric",17.864000,-88.392000,180.000000,bottom
"R2622","100R","R_2512_6332Metric",17.864000,-96.548000,180.000000,bottom
"R2623","100R","R_2512_6332Metric",17.864000,-100.612000,180.000000,bottom
"R2624","100R","R_2512_6332Metric",17.864000,-92.484000,180.000000,bottom
"R2625","100R","R_2512_6332Metric",17.864000,-84.356000,180.000000,bottom
"R2626","330R","R_0805_2012Metric",15.832000,-123.952000,0.000000,bottom
"R2627","330R","R_0805_2012Metric",31.376000,-73.550000,180.000000,bottom
"R2628","10K","R_0805_2012Metric",20.658000,-80.546000,90.000000,bottom
"R2629","1K","R_0805_2012Metric",23.198000,-80.546000,270.000000,bottom
"R2630","100R","R_2512_6332Metric",25.992000,-120.932000,180.000000,bottom
"R2631","100R","R_2512_6332Metric",25.992000,-116.868000,180.000000,bottom
"R2632","100R","R_2512_6332Metric",25.992000,-112.804000,180.000000,bottom
"R2633","100R","R_2512_6332Metric",25.992000,-104.676000,180.000000,bottom
"R2634","100R","R_2512_6332Metric",25.992000,-108.740000,180.000000,bottom
"R2635","100R","R_2512_6332Metric",25.992000,-88.392000,180.000000,bottom
"R2636","100R","R_2512_6332Metric",25.992000,-96.548000,180.000000,bottom
"R2637","100R","R_2512_6332Metric",25.992000,-92.484000,180.000000,bottom
"R2638","100R","R_2512_6332Metric",25.992000,-84.356000,180.000000,bottom
"R2639","100R","R_2512_6332Metric",25.992000,-100.612000,180.000000,bottom
"R2640","330R","R_0805_2012Metric",23.960000,-123.980000,0.000000,bottom
"R2641","330R","R_0805_2012Metric",31.376000,-71.518000,180.000000,bottom
"R2642","10K","R_0805_2012Metric",28.786000,-80.546000,90.000000,bottom
"R2643","1K","R_0805_2012Metric",31.326000,-80.546000,270.000000,bottom
"R2644","100R","R_2512_6332Metric",34.120000,-112.804000,180.000000,bottom
"R2645","100R","R_2512_6332Metric",34.120000,-120.932000,180.000000,bottom
"R2646","100R","R_2512_6332Metric",34.120000,-116.868000,180.000000,bottom
"R2647","100R","R_2512_6332Metric",34.120000,-108.740000,180.000000,bottom
"R2648","100R","R_2512_6332Metric",34.120000,-104.676000,180.000000,bottom
"R2649","100R","R_2512_6332Metric",34.120000,-92.484000,180.000000,bottom
"R2650","100R","R_2512_6332Metric",34.120000,-100.612000,180.000000,bottom
"R2651","100R","R_2512_6332Metric",34.120000,-96.520000,180.000000,bottom
"R2652","100R","R_2512_6332Metric",34.120000,-88.420000,180.000000,bottom
