Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D301,SS54HF,DO-214AC,233.426,-29.718,0,top
D302,LED,LED_0805_1.15x1.40mm_HandSolder,178.562,-27.178,270,top
D501,LL4148,SOD-80,27.305,-41.021,0,top
D502,LL4148,SOD-80,21.717,-41.021,0,top
D503,LL4148,SOD-80,16.129,-41.021,0,top
D504,LL4148,SOD-80,27.305,-54.737,0,top
D505,LL4148,SOD-80,21.717,-54.737,0,top
D506,LL4148,SOD-80,16.129,-54.737,0,top
D601,LL4148,SOD-80,27.41,-15.342,0,top
D602,LL4148,SOD-80,21.822,-15.342,0,top
D603,LL4148,SOD-80,16.234,-15.342,0,top
D604,LL4148,SOD-80,27.41,-29.058,0,top
D605,LL4148,SOD-80,21.822,-29.058,0,top
D606,LL4148,SOD-80,16.234,-29.058,0,top
D701,LL4148,SOD-80,27.281,-102.994,0,top
D702,LL4148,SOD-80,21.693,-102.994,0,top
D703,LL4148,SOD-80,16.105,-102.994,0,top
D704,LL4148,SOD-80,27.281,-116.71,0,top
D705,LL4148,SOD-80,21.693,-116.71,0,top
D706,LL4148,SOD-80,16.105,-116.71,0,top
D801,LL4148,SOD-80,27.281,-77.25,0,top
D802,LL4148,SOD-80,21.693,-77.25,0,top
D803,LL4148,SOD-80,16.105,-77.25,0,top
D804,LL4148,SOD-80,27.281,-90.966,0,top
D805,LL4148,SOD-80,21.693,-90.966,0,top
D806,LL4148,SOD-80,16.105,-90.966,0,top
D901,LL4148,SOD-80,63.78,-40.637,0,top
D902,LL4148,SOD-80,58.192,-40.637,0,top
D903,LL4148,SOD-80,52.604,-40.637,0,top
D904,LL4148,SOD-80,63.78,-54.353,0,top
D905,LL4148,SOD-80,58.192,-54.353,0,top
D906,LL4148,SOD-80,52.604,-54.353,0,top
D1001,LL4148,SOD-80,63.73,-15.438,0,top
D1002,LL4148,SOD-80,58.142,-15.438,0,top
D1003,LL4148,SOD-80,52.554,-15.438,0,top
D1004,LL4148,SOD-80,63.73,-29.154,0,top
D1005,LL4148,SOD-80,58.142,-29.154,0,top
D1006,LL4148,SOD-80,52.554,-29.154,0,top
D1101,LL4148,SOD-80,63.907,-103.031,0,top
D1102,LL4148,SOD-80,58.319,-103.031,0,top
D1103,LL4148,SOD-80,52.731,-103.031,0,top
D1104,LL4148,SOD-80,63.907,-116.747,0,top
D1105,LL4148,SOD-80,58.319,-116.747,0,top
D1106,LL4148,SOD-80,52.731,-116.747,0,top
D1201,LL4148,SOD-80,63.83,-77.34,0,top
D1202,LL4148,SOD-80,58.242,-77.34,0,top
D1203,LL4148,SOD-80,52.654,-77.34,0,top
D1204,LL4148,SOD-80,63.83,-91.056,0,top
D1205,LL4148,SOD-80,58.242,-91.056,0,top
D1206,LL4148,SOD-80,52.654,-91.056,0,top
D1301,LL4148,SOD-80,100.56,-40.621,0,top
D1302,LL4148,SOD-80,94.972,-40.621,0,top
